	0
ind_recommended	0
distance_05	0
customer	0
merchant	0
activation	0
customer_profile_01	1695
customer_profile_02	1695
customer_profile_04	4111
customer_digital_activity_02	32878
customer_profile_03	80754
merchant_spend_10	401910
customer_digital_activity_01	588716
customer_spend_07	610900
customer_spend_06	610900
merchant_profile_01	668440
merchant_spend_06	669077
customer_spend_03	942701
customer_spend_05	942701
merchant_profile_03	1520659
merchant_spend_09	1520659
merchant_profile_02	1904278
customer_spend_02	2047765
customer_spend_01	2047765
distance_04	2204000
merchant_spend_02	2532584
merchant_spend_07	2532584
merchant_spend_05	2532584
merchant_spend_04	2532584
merchant_spend_03	2532584
merchant_spend_01	2532584
merchant_spend_08	2532584
customer_merchant_03	3861485
customer_digital_activity_22	4124232
customer_digital_activity_21	4315004
customer_industry_spend_01	5854184
customer_industry_spend_05	5854184
customer_industry_spend_04	5854184
customer_industry_spend_03	5854184
customer_industry_spend_02	5854184
customer_spend_19	6410176
customer_spend_16	6437225
customer_spend_13	6437225
customer_spend_18	6576211
customer_digital_activity_03	6784817
distance_03	7591258
distance_02	7591258
customer_digital_activity_20	7796216
customer_spend_04	8029703
distance_01	8082277
customer_digital_activity_11	8250227
customer_digital_activity_10	8250227
customer_digital_activity_05	8250227
customer_digital_activity_17	8250227
customer_digital_activity_16	8250227
customer_digital_activity_15	8250227
customer_digital_activity_14	8250227
customer_digital_activity_13	8250227
customer_digital_activity_12	8250227
customer_digital_activity_06	8250227
customer_spend_17	8649614
customer_spend_15	8649614
customer_spend_14	9371214
customer_digital_activity_19	9434054
customer_digital_activity_04	10757359
merchant_spend_11	11185455
customer_digital_activity_07	12154010
customer_digital_activity_18	12154010
customer_digital_activity_08	12154010
customer_digital_activity_09	12154010
customer_merchant_01	12219172
customer_merchant_02	12219172
